dataset,ada,ddae,delta
20newsgroups,17.54556961948431,17.26919028377928,0.27637933570503037
ALOI,9.628563165273036,9.237281816541353,0.39128134873168285
Agnews,23.603101783619774,23.385137553277445,0.2179642303423286
Amazon,12.442116923565022,12.352692872762727,0.08942405080229499
CIFAR10,20.461709813655162,20.337836284087473,0.12387352956768893
Cardiotocography,66.14849066918862,65.27055971295141,0.8779309562372077
FashionMNIST,61.57294801320484,61.14720464120588,0.42574337199895496
Hepatitis,57.91554939892647,50.957994588550676,6.957554810375797
Imdb,9.117019536792014,8.999892601599255,0.11712693519275952
InternetAds,78.86007259033047,78.95202128748906,-0.09194869715858545
Ionosphere,97.0085019737133,97.00664891179215,0.0018530619211389876
Lymphography,87.05122655122655,87.82900432900433,-0.7777777777777857
MNIST-C,50.42484730784631,50.14664121865246,0.27820608919385137
MVTec-AD,70.77321206516599,70.29106720362704,0.48214486153895564
PageBlocks,85.59890111045215,85.33895815820624,0.2599429522459076
Pima,69.45580159679517,69.61354901911928,-0.15774742232410688
SVHN,14.59729928600614,15.672817245067193,-1.0755179590610542
SpamBase,89.10130475685727,89.26057365525072,-0.15926889839344938
Stamps,58.77370369820578,57.1687936532859,1.604910044919876
WBC,76.15949772192032,83.38596292338552,-7.226465201465203
WDBC,70.35617473771498,71.1054956481427,-0.749320910427727
WPBC,36.2544199971961,36.7044575875742,-0.4500375903780949
Waveform,15.260204277314761,14.53021386529097,0.7299904120237919
Wilt,13.764331350300585,13.495374088531253,0.2689572617693319
Yelp,17.388893347747985,17.395776572302818,-0.006883224554833589
annthyroid,66.86035296320284,67.44106287147412,-0.5807099082712739
backdoor,69.53224318754589,67.54473067470657,1.9875125128393165
breastw,98.26692537515441,98.56027276149266,-0.2933473863382403
campaign,50.597598761863644,51.56073082764923,-0.9631320657855866
cardio,80.30277171338285,79.69635041948808,0.6064212938947691
celeba,7.824447337428704,8.87607537604813,-1.0516280386194259
census,21.683543862218478,21.506710540541043,0.17683332167743515
cover,85.96136400544367,79.3741733711523,6.587190634291375
donors,99.01878850144571,98.64613046174725,0.37265803969846445
fault,77.17501315603889,77.77872967326232,-0.6037165172234324
fraud,62.05656995751154,62.59029622690749,-0.5337262693959488
glass,26.539749342070586,24.613779559031133,1.9259697830394522
http,99.13221929581411,99.60558507524547,-0.4733657794313615
landsat,57.55159056731492,57.45814131570103,0.09344925161389028
letter,73.16932360742001,73.12302417064127,0.04629943677873882
magic.gamma,88.4473767516633,88.2506344481666,0.19674230349670552
mammography,39.167601569408426,36.96788415510447,2.1997174143039544
mnist,77.80006457713525,77.8133443639316,-0.013279786796360327
musk,99.99999999999999,99.99999999999999,0.0
optdigits,34.66713862082144,33.50917681040377,1.1579618104176674
pendigits,93.95711310157438,93.46456833675424,0.4925447648201384
satellite,88.06139452032416,87.92619145535477,0.13520306496938872
satimage-2,96.09546304601625,93.08110432304194,3.0143587229743076
shuttle,98.70056661417291,98.44554421967891,0.25502239449400577
skin,89.73538085682932,87.30325679344082,2.4321240633884997
smtp,50.12672169001409,52.931573220956025,-2.8048515309419386
speech,3.981940498262081,3.7226770788049146,0.2592634194571666
thyroid,76.59869469952223,75.7627465438082,0.8359481557140214
vertebral,20.680880786251336,20.37473684783886,0.30614393841247534
vowels,92.78277748434712,92.19337995535338,0.589397528993743
wine,77.96161708948087,78.65152714932125,-0.6899100598403862
yeast,49.79563983491503,50.244454488440844,-0.4488146535258153
