dataset,PR-AUC,ROC-AUC,AP
annthyroid,66.43546872273633,91.99805373795806,66.4769882141136
backdoor,72.92354295046273,95.6338523617594,72.95509053389718
breastw,98.2900278784223,98.76776357947905,98.29789351007523
campaign,50.57424343613762,78.02789659229431,50.59778088125173
cardio,79.02423611930878,93.30533596837945,79.11379112020452
Cardiotocography,66.03941866187381,71.73913496395683,66.0739635903376
cover,82.41775459026026,96.92249742111782,82.43945531178107
donors,98.91087561897211,99.93070310605786,98.91290930294451
fault,77.2278206032308,78.80597259785978,77.33320001972834
fraud,62.01414788348565,95.77827350467822,62.082963731255326
glass,28.58337715731348,87.89644012944983,32.859536249457726
Hepatitis,53.85446189431919,80.18099547511312,57.16552608803849
http,98.88573613407449,99.99131943460995,98.89748914224069
InternetAds,79.5787394659573,85.62387767317843,79.63558049451571
Ionosphere,97.02331211469343,96.12866975698834,97.03390594436337
landsat,57.50590341155339,72.11538184428505,57.55868640958924
Lymphography,87.05122655122655,98.96713615023474,88.43650793650791
magic.gamma,88.17940815221199,85.19035089982572,88.18043976860072
mammography,38.58867001607841,86.62907359941411,38.775463738977436
mnist,77.77827234516636,94.67603873530874,77.8123163453112
musk,99.99999999999997,100.0,99.99999999999997
optdigits,39.13086657708299,95.85877089090671,39.401048423946705
PageBlocks,85.12562504926008,95.7746141863789,85.14332844234829
pendigits,93.96437309580884,99.82180365558382,94.08577460441322
satellite,88.03487244212972,84.82839569565994,88.03729777305219
shuttle,98.70315385158467,99.94498415850515,98.70756847484287
skin,89.33759519900775,96.85942344373647,89.33909999986163
SpamBase,89.0980881614067,86.52280403495148,89.10506704061368
thyroid,81.25244178175089,98.65883590462833,81.38795063328735
vertebral,22.486470976402632,51.80952380952382,23.82222472298151
vowels,92.23242677062554,99.21877667140825,92.3082785324237
Waveform,32.33651030634551,79.89461722488038,32.66694807360784
WBC,81.93928109214485,98.24299065420561,83.05766543398121
WDBC,71.23135544310163,98.43575418994413,73.78160809778457
WPBC,37.68234503933676,53.068309070548715,38.94484574512626
yeast,49.63719134017787,46.63576997696865,49.80576194299924
FashionMNIST,61.133867989929946,90.55974603174603,61.28433530878553
MNIST-C,49.632904286248404,85.36419105263157,49.74939942500319
MVTec-AD,69.69545327554923,77.2650963810791,70.04120963213755
ALOI,9.601757109771366,57.12487687648412,9.639254838946384
celeba,7.043664374507366,63.02786867866941,7.054087474754008
census,17.485613282171695,68.2671337070753,17.48953934785535
letter,73.61805039259424,95.35386666666665,73.8136578259849
Pima,68.89925103240486,69.69373134328359,69.05629536354971
satimage-2,96.09546304601626,99.87212879510136,96.1194669991963
smtp,49.57159654709419,92.7159767045813,50.81546854085095
speech,4.181894356852306,54.278480554827155,4.399137828224216
Stamps,54.41190342379123,91.98751300728406,56.36997602980991
Wilt,13.675185513951321,64.59190026901301,13.763705935114071
wine,66.62923937947157,94.40000000000002,69.23309555941135
CIFAR10,20.46123716308384,68.9723011406844,20.67832222114164
SVHN,14.597299286006141,60.5682841137565,14.766039315414737
Agnews,23.482000961403713,75.44513684210527,23.607202513160157
Amazon,12.392325913300118,62.80953263157893,12.462037176282118
Imdb,9.046202291119192,50.305267368421056,9.108423815946761
Yelp,17.474870931346036,69.68356210526316,17.57692775322041
20newsgroups,17.512441399614936,65.63704930931176,18.09630338670562
